rank,country
1,Argentina
2,France
3,England
4,Belgium
5,Brazil
6,Netherlands
7,Portugal
8,Spain
9,Italy
10,Croatia
11,Uruguay
12,USA
13,Morocco
14,Colombia
15,Mexico
16,Germany
17,Japan
18,Switzerland
19,Denmark
20,Senegal
21,IR Iran
22,Ukraine
23,Korea Republic
24,Austria
25,Australia
26,Sweden
27,Hungary
28,Tunisia
29,Wales
30,Algeria
31,Poland
32,Ecuador
33,Egypt
34,Serbia
35,Peru
36,Scotland
37,Türkiye
38,Russia
39,Czechia
40,Chile
41,Panama
42,Nigeria
43,Romania
44,Norway
45,Slovakia
46,Cameroon
47,Greece
48,Canada
49,Côte d'Ivoire
50,Venezuela
51,Mali
52,Costa Rica
53,Paraguay
54,Slovenia
55,Jamaica
56,Saudi Arabia
57,Burkina Faso
58,Qatar
59,Finland
60,Republic of Ireland
61,Ghana
62,Albania
63,Iraq
64,United Arab Emirates
65,North Macedonia
66,South Africa
67,Congo DR
68,Uzbekistan
69,Bosnia and Herzegovina
70,Montenegro
71,Iceland
72,Northern Ireland
73,Cabo Verde
74,Oman
75,Israel
76,Honduras
77,Georgia
78,El Salvador
79,China PR
80,Guinea
81,Bulgaria
82,Gabon
83,Luxembourg
84,Zambia
85,Bolivia
86,Bahrain
87,Jordan
88,Equatorial Guinea
89,Haiti
90,Curaçao
91,Syria
92,Uganda
93,Armenia
94,Vietnam
95,Belarus
96,Trinidad and Tobago
97,Benin
98,Kyrgyz Republic
99,Palestine
100,Kazakhstan
101,Kosovo
102,India
103,Guinea-Bissau
104,Aotearoa New Zealand
105,Mauritania
106,Tajikistan
107,Lebanon
108,Guatemala
109,Madagascar
110,Kenya
111,Mozambique
112,Congo
113,Thailand
114,Azerbaijan
115,Namibia
116,Korea DPR
117,Angola
118,Togo
119,Comoros
120,Libya
121,Tanzania
122,Estonia
123,Malawi
124,Zimbabwe
125,Cyprus
126,The Gambia
127,Sierra Leone
128,Sudan
129,Niger
130,Malaysia
131,Central African Republic
132,Solomon Islands
133,Rwanda
134,Nicaragua
135,Faroe Islands
136,Kuwait
137,Latvia
138,Lithuania
139,Burundi
140,Philippines
141,Turkmenistan
142,Antigua and Barbuda
143,Suriname
144,Ethiopia
145,Botswana
146,Indonesia
147,St Kitts and Nevis
148,Lesotho
149,Eswatini
150,"Hong Kong, China"
151,Dominican Republic
152,Yemen
153,Liberia
154,Chinese Taipei
155,Moldova
156,Singapore
157,Guyana
158,Afghanistan
159,New Caledonia
160,Puerto Rico
161,Maldives
162,Myanmar
163,Tahiti
164,Andorra
165,Papua New Guinea
166,South Sudan
167,St Lucia
168,Fiji
169,Cuba
170,Vanuatu
171,Bermuda
172,Malta
173,St Vincent and the Grenadines
174,Grenada
175,Nepal
176,Montserrat
177,Mauritius
178,Barbados
179,Cambodia
180,Dominica
181,Chad
182,Belize
183,Bangladesh
184,Bhutan
185,Cook Islands
186,Samoa
187,Macau
188,American Samoa
189,Laos
190,Mongolia
191,São Tomé and Príncipe
192,Djibouti
193,Aruba
194,Brunei Darussalam
195,Pakistan
196,Tonga
197,Cayman Islands
198,Somalia
199,Seychelles
200,Timor-Leste
201,Gibraltar
202,Bahamas
203,Liechtenstein
204,Sri Lanka
205,Guam
206,Turks and Caicos Islands
207,British Virgin Islands
208,US Virgin Islands
209,Anguilla
210,San Marino
,Eritrea
